,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DISTANCE,DISTANCE_GROUP,CITY,STATE,LATITUDE,LONGITUDE
25071,10397,ATL,"Atlanta, GA",356,2,Atlanta, GA,33.7489924,-84.3902644
167951,10423,AUS,"Austin, TX",1162,5,Austin, TX,30.2711286,-97.7436995
67061,10821,BWI,"Baltimore, MD",255,2,Baltimore, MD,39.2908816,-76.610759
329049,10721,BOS,"Boston, MA",612,3,Boston, MA,42.3602534,-71.0582912
91,11057,CLT,"Charlotte, NC",130,1,Charlotte, NC,35.2272086,-80.8430827
67066,13232,MDW,"Chicago, IL (MDW)",632,3,Chicago, IL,41.8755616,-87.6244212
8205,13930,ORD,"Chicago, IL (ORD)",646,3,Chicago, IL,41.8755616,-87.6244212
165101,11259,DAL,"Dallas, TX",1052,5,Dallas, TX,32.7762719,-96.7968559
3975,11298,DFW,"Dallas/Fort Worth, TX",1061,5,Dallas/Fort Worth, TX,32.760728,-97.239286
67064,11292,DEN,"Denver, CO",1436,6,Denver, CO,5.3428475,-72.3959849
25474,11433,DTW,"Detroit, MI",501,3,Detroit, MI,42.3315509,-83.0466403
38168,11697,FLL,"Fort Lauderdale, FL",680,3,Fort Lauderdale, FL,26.1223084,-80.1433786
332169,14635,RSW,"Fort Myers, FL",667,3,Fort Myers, FL,26.640628,-81.8723084
223951,12266,IAH,"Houston, TX (IAH)",1042,5,Houston, TX,29.7589382,-95.3676974
165104,12191,HOU,"Houston, TX (HOU)",1050,5,Houston, TX,29.7589382,-95.3676974
71421,12889,LAS,"Las Vegas, NV",2026,9,Las Vegas, NV,36.1672559,-115.1485163
24594,12892,LAX,"Los Angeles, CA",2239,9,Los Angeles, CA,34.0536909,-118.242766
8202,13303,MIA,"Miami, FL",700,3,Miami, FL,25.7741728,-80.19362
25456,13487,MSP,"Minneapolis, MN",980,4,Minneapolis, MN,44.9772995,-93.2654692
67059,10693,BNA,"Nashville, TN",442,2,Nashville, TN,36.1622296,-86.7743531
165110,13495,MSY,"New Orleans, LA",779,4,New Orleans, LA,29.9499323,-90.0701156
141095,12478,JFK,"New York, NY (JFK)",427,2,New York, NY,40.7127281,-74.0060152
345043,12953,LGA,"New York, NY (LGA)",431,2,New York, NY,40.7127281,-74.0060152
143829,11618,EWR,"Newark, NJ",416,2,Newark, NJ,40.735657,-74.1723667
67065,13204,MCO,"Orlando, FL",534,3,Orlando, FL,28.5421109,-81.3790304
6939,14100,PHL,"Philadelphia, PA",337,2,Philadelphia, PA,39.9527237,-75.1635262
67069,14107,PHX,"Phoenix, AZ",1891,8,Phoenix, AZ,33.4484367,-112.0741417
215120,14082,PGD,"Punta Gorda, FL",645,3,Punta Gorda, FL,26.9297836,-82.0453664
24058,14869,SLC,"Salt Lake City, UT",1823,8,Salt Lake City, UT,40.7596198,-111.8867975
119234,14843,SJU,"San Juan, PR",1433,6,San Juan, PR,-25.4206759,-49.2687429
216470,14761,SFB,"Sanford, FL",510,3,Sanford, FL,28.8117297,-81.2680345
24558,14747,SEA,"Seattle, WA",2354,10,Seattle, WA,47.6038321,-122.3300624
67070,15016,STL,"St. Louis, MO",667,3,St. Louis, MO,38.6529545,-90.2411166
133950,15304,TPA,"Tampa, FL",587,3,Tampa, FL,27.9477595,-82.458444
148386,12264,IAD,"Washington, DC",224,1,Washington, DC,38.8950368,-77.0365427
