,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DISTANCE,DISTANCE_GROUP
91,AA,1786,11057,CLT,"Charlotte, NC",130.0,1
125,AA,1794,11057,CLT,"Charlotte, NC",130.0,1
316,AA,1805,11057,CLT,"Charlotte, NC",130.0,1
487,AA,1818,11057,CLT,"Charlotte, NC",130.0,1
1809,AA,1912,11057,CLT,"Charlotte, NC",130.0,1
3975,AA,2046,11298,DFW,"Dallas/Fort Worth, TX",1061.0,5
6939,AA,2267,14100,PHL,"Philadelphia, PA",337.0,2
8202,AA,2343,13303,MIA,"Miami, FL",700.0,3
8205,AA,2344,13930,ORD,"Chicago, IL",646.0,3
10236,AA,2472,11298,DFW,"Dallas/Fort Worth, TX",1061.0,5
10615,AA,2495,11057,CLT,"Charlotte, NC",130.0,1
24058,DL,527,14869,SLC,"Salt Lake City, UT",1823.0,8
24558,DL,1123,14747,SEA,"Seattle, WA",2354.0,10
24594,DL,1160,12892,LAX,"Los Angeles, CA",2239.0,9
25071,DL,1523,10397,ATL,"Atlanta, GA",356.0,2
25115,DL,1557,10397,ATL,"Atlanta, GA",356.0,2
25135,DL,1572,10397,ATL,"Atlanta, GA",356.0,2
25143,DL,1578,10397,ATL,"Atlanta, GA",356.0,2
25150,DL,1585,10397,ATL,"Atlanta, GA",356.0,2
25184,DL,1613,10397,ATL,"Atlanta, GA",356.0,2
25187,DL,1615,10397,ATL,"Atlanta, GA",356.0,2
25190,DL,1618,10397,ATL,"Atlanta, GA",356.0,2
25456,DL,2021,13487,MSP,"Minneapolis, MN",980.0,4
25474,DL,2034,11433,DTW,"Detroit, MI",501.0,3
25481,DL,2040,11433,DTW,"Detroit, MI",501.0,3
25566,DL,2293,10397,ATL,"Atlanta, GA",356.0,2
29892,DL,2318,10397,ATL,"Atlanta, GA",356.0,2
30080,DL,518,14869,SLC,"Salt Lake City, UT",1823.0,8
30350,DL,1041,11433,DTW,"Detroit, MI",501.0,3
31685,DL,1016,11433,DTW,"Detroit, MI",501.0,3
38168,NK,498,11697,FLL,"Fort Lauderdale, FL",680.0,3
